Ticket_Type,Operator,Offer,Child,Group
MBath10/20S YP,first,,,
MBath12/40 Stu,first,,,
MBath20/40 Stu,first,,,
MBath20/40 YP,first,,,
MBathFFS Student,first,,,
MBathFFS YPerson,first,,,
MBris 3/10 Stu,first,,,
MBris 3/10 YP,first,,,
MBris 5/10 Stu,first,,,
MBris 5/10 YP,first,,,
MBris 6/20 Stu,first,,,
MBris 6/20 YP,first,,,
MBris FFS Adult,first,,,
MBris FFS Child,first,,TRUE,
MBris10/20 Stu,first,,,
MBris10/20 YP,first,,,
MBris12/40 Stu,first,,,
MBris12/40 YP,first,,,
MBris20/40 Stu,first,,,
MBrisFFS Student,first,,,
MBrisFFS YPerson,first,,,
MThorn Stu S,first,,,
MThorn YP S,first,,,
MThornbury CH S,first,,TRUE,
MUniBrisU210Dy/Y,first,,,
MWOEBFlyer RtnAD,first,,,
MWOEBFlyer RtnCH,first,,TRUE,
MWOEBFlyer Sg CH,first,,TRUE,
MWOEBFlyer SglAD,first,,,
MWOEBFlyerRtnFam,first,,,
MWOEBFlyerRtnStu,first,,,
MWOEBFlyerSglSTU,first,,,
MWoE 10/20 Stu,first,,,
MWoE 12/40 Stu,first,,,
MWoE 12/40 YP,first,,,
MWoE 20/40 Stu,first,,,
MWoE 20/40 YP,first,,,
MWoE 3/10 Stu,first,,,
MWoE 3/10 YP,first,,,
MWoE 5/10 Stu,first,,,
MWoE 5/10 YP,first,,,
MWoE 6/20 Stu,first,,,
MWoE 6/20 YP,first,,,
OAP Dmnd,first,,,
OAP+C Dmnd,first,,,
PADI Staff,first,,,
PB Adult Day,first,,,
PB Bristol TMead,first,,,
PB Child Day,first,,TRUE,
POS A1 ADSgl Use,first,,,
POS A1 STSgl Use,first,,,
POS Bath ADS Use,first,,,
POS Bath CHS Use,first,,TRUE,
POS Bath STS Use,first,,,
POS Bris ADS Use,first,,,
POS Bris CHS Use,first,,TRUE,
POS Bris STS Use,first,,,
POS WoE ADS Use,first,,,
POS WoE CHS Use,first,,TRUE,
Parkway Adlt Ret,first,,,
Partner Pass,first,,,
Pass,eurocoaches,,,
Pass Use,first,,,
Plat TC Blind,eurocoaches,,,
Punch,abus,,,
QR 10TA,faresaver,,,
QR ARTN,faresaver,,,
QR C1DY,faresaver,,TRUE,
QR C1MH,faresaver,,TRUE,
R/Allen Single,abus,,TRUE,
RBris Group Use,first,,,
Retiree Pass,first,,,
Rider accept,eurocoaches,,,
SG PLat Blind Co,eurocoaches,,,
SWoE Student Mth,first,,,
Senior Return,first,,,
Senior Single,first,,,
Somerset Dis,first,,,
Somerset Elderly,first,,,
Staff Pass,first,,,
SthGlouc Blind,first,,,
SthGlouc Blind+C,first,,,
Stu Bath T2 QR,first,,,
Stu Bath T3 QR,first,,,
Stu Bris T2 QR,first,,,
Stu Bris T3 QR,first,,,
Stu WoE T2 QR,first,,,
Stu WoE T3 QR,first,,,
Student,ct_coaches,,,
Student 2 TripQR,first,,,
Student 2-Trip,first,,,
Student Return,first,,,
Student Rtn,big_lemon,,,
Student Single,first,,,
Super O/Peak Ret,first,,,
Super O/Peak Sgl,first,,,
Swin OP Per Ret,first,,,
TOP BrlRdr AD W,first,,,
Tap On Tap Off,first,,,
Top AD Week WoE,first,,,
Top Bris Z AD Wk,first,,,
Top Bris Z ST Wk,first,,,
Under 16,ct_coaches,,TRUE,
UniBris Teach B1,first,,,
UniBris TeachB2,first,,,
W2M Adult BIri Z,first,,,
W2M Adult Bath Z,first,,,
W2M Adult WoE,first,,,
WECA CL,faresaver,,,
WECA CL NSom,eurocoaches,,,
WECA Care Leaver,big_lemon,,,
WECA Disabled,faresaver,,,
WECA Free Child,big_lemon,TRUE,TRUE,
WECA HB CD,big_lemon,,,
WECA HB YP,big_lemon,,,
West of Eng G,first,,,
West of Eng+ A,first,,,
West of Eng+ C,first,,,
West of Eng+ G,first,,,
Wiltshire Dis,first,,,
Wiltshire Dis +,first,,,
Wiltshire Eld,first,,,
Withdrawn Pass,first,,,
WoE AD 5 Day QR,first,,,
WoE AD Mth,first,,,
WoE AD Wk,first,,,
WoE Ad Day,first,,,
WoE Adult 5 S,first,,,
WoE Adult Day,first,,,
WoE Adult Day S,first,,,
WoE Adult Month,first,,,
WoE Adult Week,first,,,
WoE Cd Day,first,,TRUE,
WoE Child Day,first,,TRUE,
WoE Child Month,first,,TRUE,
WoE Child Mth,first,,TRUE,
WoE Child Week,first,,TRUE,
WoE Child Wk,first,,TRUE,
WoE Gp Day,first,,,TRUE
WoE Plus Ad Day,first,,,
WoE Plus Cd Day,first,,TRUE,
WoE Plus Gp Day,first,,,TRUE
WoE Sgl Adult,first,,,
WoE Sgl Child,first,,TRUE,
WoE Sgl Student,first,,,
WoE Sgl YPerson,first,,,
WoE Staff Pass,first,,,
WoE Student Day,first,,,
WoE Student Mth,first,,,
WoE Student Week,first,,,
Youth Guarantee,first,,,
ZnABC Brstl+&Bth,first,,,
ZnABD Brstl&WsM,first,,,
ZoneA Bristol,first,,,
ZoneAB Bristol+,first,,,
ZoneAC Brstl&Bth,first,,,
i Bris AD 2Trip,first,,,
i Bris AD Day,first,,,
i Bris AD Sgl,first,,,
i Bris CH 2 Trip,first,,TRUE,
i Bris CH Day,first,,TRUE,
i Bris CH Sgl,first,,TRUE,
i Bris GroupDay,first,,,TRUE
i Bris Stu 2Trip,first,,,
i Bris Stu Day,first,,,
i Bris Stu Sgl,first,,,
i WoE Adult Day,first,,,
i WoE Child Day,first,,TRUE,
i WoE Group Day,first,,,TRUE
i WoE Stu/YP Day,first,,,
